ID	ImageURL	StationName	Latitude	Longitude	Added	Modified	Last Seen
C1259703	https://weathercam.digitraffic.fi/C1259703.jpg	yt18710_Oulu_Kuivasjärvi	25.51173	65.063158			
C1259704	https://weathercam.digitraffic.fi/C1259704.jpg	yt18710_Oulu_Kuivasjärvi	25.51173	65.063158			
C1259801	https://weathercam.digitraffic.fi/C1259801.jpg	yt8300_Oulu_Hiukkavaara	25.579649	65.005824			
C1259802	https://weathercam.digitraffic.fi/C1259802.jpg	yt8300_Oulu_Hiukkavaara	25.579649	65.005824			
C1259803	https://weathercam.digitraffic.fi/C1259803.jpg	yt8300_Oulu_Hiukkavaara	25.579649	65.005824			
C1259804	https://weathercam.digitraffic.fi/C1259804.jpg	yt8300_Oulu_Hiukkavaara	25.579649	65.005824			
C1259809	https://weathercam.digitraffic.fi/C1259809.jpg	yt8300_Oulu_Hiukkavaara	25.579649	65.005824			
C1259901	https://weathercam.digitraffic.fi/C1259901.jpg	vt20_Pudasjärvi_Kurenalus	26.987401	65.365106			
C1259902	https://weathercam.digitraffic.fi/C1259902.jpg	vt20_Pudasjärvi_Kurenalus	26.987401	65.365106			
C1259906	https://weathercam.digitraffic.fi/C1259906.jpg	vt20_Pudasjärvi_Kurenalus	26.987401	65.365106			
C1259909	https://weathercam.digitraffic.fi/C1259909.jpg	vt20_Pudasjärvi_Kurenalus	26.987401	65.365106			
C1260101	https://weathercam.digitraffic.fi/C1260101.jpg	vt5_Kuusamo_Kitka	28.898913	66.305314			
C1260102	https://weathercam.digitraffic.fi/C1260102.jpg	vt5_Kuusamo_Kitka	28.898913	66.305314			
C1260108	https://weathercam.digitraffic.fi/C1260108.jpg	vt5_Kuusamo_Kitka	28.898913	66.305314			
C1260109	https://weathercam.digitraffic.fi/C1260109.jpg	vt5_Kuusamo_Kitka	28.898913	66.305314			
C1260201	https://weathercam.digitraffic.fi/C1260201.jpg	kt86_Oulainen_Piipsjärvi	24.911744	64.309463			
C1260202	https://weathercam.digitraffic.fi/C1260202.jpg	kt86_Oulainen_Piipsjärvi	24.911744	64.309463			
C1260209	https://weathercam.digitraffic.fi/C1260209.jpg	kt86_Oulainen_Piipsjärvi	24.911744	64.309463			
C1260401	https://weathercam.digitraffic.fi/C1260401.jpg	yt8690_Kuusamo_Vuotunki	29.584713	66.121115			
C1260402	https://weathercam.digitraffic.fi/C1260402.jpg	yt8690_Kuusamo_Vuotunki	29.584713	66.121115			
C1260403	https://weathercam.digitraffic.fi/C1260403.jpg	yt8690_Kuusamo_Vuotunki	29.584713	66.121115			
C1260404	https://weathercam.digitraffic.fi/C1260404.jpg	yt8690_Kuusamo_Vuotunki	29.584713	66.121115			
C1260409	https://weathercam.digitraffic.fi/C1260409.jpg	yt8690_Kuusamo_Vuotunki	29.584713	66.121115			
C1260501	https://weathercam.digitraffic.fi/C1260501.jpg	vt27_Ylivieska_Alavieska	24.30642	64.157468			
C1260502	https://weathercam.digitraffic.fi/C1260502.jpg	vt27_Ylivieska_Alavieska	24.30642	64.157468			
C1260509	https://weathercam.digitraffic.fi/C1260509.jpg	vt27_Ylivieska_Alavieska	24.30642	64.157468			
C1260601	https://weathercam.digitraffic.fi/C1260601.jpg	st843_Suomussalmi_Hossa	29.560707	65.411449			
C1260701	https://weathercam.digitraffic.fi/C1260701.jpg	st912_Suomussalmi_Saarivaara	29.670402	64.673487			
C1260901	https://weathercam.digitraffic.fi/C1260901.jpg	vt4_Ii_Olhava	25.384825	65.412578			
C1260902	https://weathercam.digitraffic.fi/C1260902.jpg	vt4_Ii_Olhava	25.384825	65.412578			
C1260909	https://weathercam.digitraffic.fi/C1260909.jpg	vt4_Ii_Olhava	25.384825	65.412578			
C1260913	https://weathercam.digitraffic.fi/C1260913.jpg	vt4_Ii_Olhava	25.384825	65.412578			
C1261101	https://weathercam.digitraffic.fi/C1261101.jpg	st816_Hailuoto_K	24.776125	65.034327			
C1261200	https://weathercam.digitraffic.fi/C1261200.jpg	vt4_Oulu_Intiö	25.507899	65.019907			
C1261202	https://weathercam.digitraffic.fi/C1261202.jpg	vt4_Oulu_Intiö	25.507899	65.019907			
C1261301	https://weathercam.digitraffic.fi/C1261301.jpg	vt4_Oulu_Ouluntulli	25.5387	64.940686			
